Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Region,Still admitted,Tests  performed in last 24 hours
21,0,0,3/21/2020,0,0,,2,KPTD,0,0
698,81,805,3/21/2020,0,0,,47,Balochistan,81,0
40,1,40,21-Mar-20,0,0,,4,AJK,1,0
310,30,310,3/21/2020,0,0,,220,GB,30,0
188,11,366,3/22/2020,2,0,,17,ICT,9,0
246,152,1361,3/22/2020,0,0,,50,Punjab,152,0
232,396,1497,3/22/2020,3,1,,22,Sindh,392,0
155,31,264,3/22/2020,0,2,,25,KP,29,0
21,0,0,3/22/2020,0,0,,0,KPTD,0,0
1380,104,1380,3/22/2020,0,0,,593,Balochistan,104,0
42,1,42,3/22/2020,0,0,,2,AJK,1,0
310,55,315,3/22/2020,0,0,,0,GB,55,0
198,15,404,23-Mar-20,2,0,,10,ICT,13,0
257,225,1436,3/23/2020,0,0,,11,Punjab,225,0
232,333,1512,3/23/2020,4,1,,0,Sindh,328,0
196,31,305,3/23/2020,0,3,,41,KP,28,0
1405,108,1405,3/23/2020,0,1,,25,Balochistan,107,0
44,1,44,3/23/2020,0,0,,2,AJK,1,0
310,71,338,3/23/2020,0,0,,0,GB,71,0
226,15,427,3/24/2020,2,0,,28,ICT,13,0
257,249,1436,3/24/2020,0,0,,0,Punjab,249,0
232,394,1579,24-Mar-20,4,1,,0,Sindh,389,0
431,38,448,3/24/2020,0,3,,235,KP,35,0
1407,110,1407,3/24/2020,0,1,,2,Balochistan,109,0
60,1,60,3/24/2020,0,0,,16,AJK,1,0
310,80,500,3/24/2020,0,1,,0,GB,79,0
236,18,459,3/25/2020,2,0,,10,ICT,16,0
257,296,1436,3/25/2020,2,1,,0,Punjab,293,0
238,407,1579,3/25/2020,14,1,,6,Sindh,392,0
538,78,566,3/25/2020,0,3,,98,KP,75,0
1437,110,1437,3/25/2020,0,1,,30,Balochistan,109,0
65,1,66,3/25/2020,0,0,,5,AJK,1,0
347,81,580,3/25/2020,0,1,,37,GB,80,0
255,25,561,3/26/2020,2,0,,19,ICT,8,0
257,323,1436,26-Mar-20,3,2,,0,Punjab,318,0
295,413,1592,26-Mar-20,14,1,,37,Sindh,398,0
694,80,704,26-Mar-20,2,3,,138,KP,75,0
